"","Anemone.ID","Month","Month.Clutch","Treatment","Reef.ID","Date","Time","Clutch.Age","M.tend","F.tend","Conflict.M","Conflict.F","Actual.Observer","Manipulation","Age","Laid","ID","expt","FSL.1","FSL.2","FSL","MSL.1","MSL.2","MSL","MDSL","FDSL"
"114",399,"1",2,"C","Hanging","7/6/2018",23,4,12.18946667,0.940316667,0,0,"T","6/13/2018","Early",408,399,"Y",59.8,60,59.9,45.7,44.9,45.3,"-0.8",0.2
"115",399,"2",1,"C","Hanging","7/24/2018",10,4,12.30771667,0.49925,0,0,"T","7/14/2018","Early",439,399,"Y",59.8,60,59.9,45.7,44.9,45.3,"-0.8",0.2
"116",403,"2",1,"M","Limuka","7/21/2018",6,3,10.44428333,1.223133333,0,0,"T","7/15/2018","Early",671,403,"Y",74.2,71.8,73,47,47.2,47.1,"0.2",-2.4
"117",403,"2",2,"M","Limuka","8/4/2018",20,7,14.6665,0.8133,0,0,"T","7/15/2018","Late",975,403,"Y",74.2,71.8,73,47,47.2,47.1,"0.2",-2.4
"118",403,"1",1,"M","Limuka","6/29/2018",16,7,14.64866667,0.609783333,0,0,"T","6/13/2018","Late",590,403,"Y",74.2,71.8,73,47,47.2,47.1,"0.2",-2.4
"119",403,"2",2,"M","Limuka","7/31/2018",16,3,14.3838,0.624333333,0,0,"T","7/15/2018","Early",975,403,"Y",74.2,71.8,73,47,47.2,47.1,"0.2",-2.4
"120",405,"2",2,"F","Limuka","8/8/2018",24,7,14.58886667,4.93685,0,0,"T","7/15/2018","Late",424,405,"Y",57.5,58,57.75,47.4,47.7,47.55,"0.3",0.5
"121",405,"2",1,"F","Limuka","7/25/2018",10,3,11.1425,6.031533333,0,0,"T","7/15/2018","Early",310,405,"Y",57.5,58,57.75,47.4,47.7,47.55,"0.3",0.5
"122",405,"2",2,"F","Limuka","8/4/2018",20,3,13.43395,8.138966667,0,0,"T","7/15/2018","Early",424,405,"Y",57.5,58,57.75,47.4,47.7,47.55,"0.3",0.5
"123",406,"1",1,"M","Limuka","6/29/2018",16,3,12.99286667,1.173283333,0,0,"M","6/13/2018","Early",228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",406,"1",2,"M","Limuka","7/7/2018",24,3,13.22286667,4.967,0,0,"M","6/13/2018","Early",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",406,"1",2,"M","Limuka","7/11/2018",28,7,9.1488,1.0835,0,0,"T","6/13/2018","Late",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",406,"2",1,"M","Limuka","7/29/2018",14,6,13.97285,2.986416667,0,0,"M","7/15/2018","Late",337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",406,"2",1,"M","Limuka","7/27/2018",12,4,14.21536667,1.416433333,0,0,"M","7/15/2018","Early",337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",406,"2",2,"M","Limuka ","8/4/2018",20,3,13.52586667,1.0609,0,0,"M","7/15/2018","Early",421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",406,"2",2,"M","Limuka ","8/8/2018",24,7,14.54921667,4.2346,0,0,"M","7/15/2018","Late",421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
